title,description,genre
BEE SIMULATOR,Experience life from the perspective of a Bee.,"Genre(s): Simulation, Action Adventure, General, Open-World"
BEEFENSE BEEMASTERED,"True to the game’s motto “Save the Bees!”, players of BeeFense BeeMastered must build an effective defense against varied enemy types in a total of 26 levels — a real BeeFense! In the remastered version of ByteRockers Games’ successful mobile game, the graphics have been revamped from the ground up to shine on PC and console in full HD and with new animations. The content of the humorous tower defense game has also expanded: the story continues in the land of fireflies in six new levels, with new weapons giving the clever little bees more options to trickily defend themselves against their opponents.","Genre(s): Strategy, Real-Time, Defense"
BEFORE I FORGET,"A woman alone in a house. A mystery and a love story. Explore the present to uncover the past, in a short story of love and loss and a life well-lived. A narrative exploration that examines a world where memories are constantly fading and jumbled. A game about dementia and what happens when you can't hold onto the things you've done or the people you've loved.

""Is this the right place?...What did I come out here for?""

A plaintive theme on the piano. A tattered 2-year-old calendar. The taste of stale air. A woman is in her house, alone, and her mind holds a mystery...

You are Sunita - a woman living with early onset dementia. As you wander from room to room, you discover mysterious objects, each holding a fleeting, fragmented memory. Examine faded postcards, scribbled notes, photographs, and more to uncover Sunita's past, piece together her life-story, and understand her present.

Before I Forget is a story-rich, first-person exploration game from 3-Fold Games. Delicate, moving, and atmospheric, it examines the emotional impact of dementia.","Genre(s): Adventure, General"
BEFORE WE LEAVE,Before We Leave is a non-violent city building game set in a cozy corner of the universe. Nurture your Peeps and their surroundings while rebuilding and rediscovering civilisation. Settle new lands and planets while avoiding hungry Space Whales.,"Genre(s): Strategy, Management, Government"
BEHIND CLOSED DOORS: A DEVELOPER'S TALE,"In 'Behind Closed Doors', you play as Ethan, who has an office job at an unprofessional indie company, trying to support his pregnant wife.

Behind Closed Doors plays for about 50 minutes, and is split into two sections. In the first half, it is just a normal week for Ethan; waking up, going to work, coming home, go to bed and repeat. But after a few days, something strange happens. Ethan gets an unusual phone call in the middle of the night, and is somehow teleported to another dimension. Ethan must then complete a few trials to get back to the real world.","Genre(s): Adventure, General"
BEHOLDER 2,"You are a newly employed department officer within the Ministry of a totalitarian State. While you are poised to have an illustrious career and possibly become Prime Minister someday, the way up won't be easy. So, how high up the career ladder will you climb? The choice is still yours to make!","Genre(s): Strategy, General"
BEHOLDER 3,"A totalitarian state that controls everything and everyone through oppressive laws, total surveillance, and intimidation.

You are Frank Schwarz, a husband, and father who lost his cushy office job at the Ministry after someone set him up. The only way to avoid jail time was to make a deal with a high-ranking security officer.

Now a government spy working undercover as a landlord, you must break into tenants' apartments, search them for contraband and eliminate anyone your boss wants out of the picture.

At the same time, you'll have to spy and scheme against co-workers and superiors in the Ministry to work your way back up the ladder. Different factions are secretly vying for power over the Ministry and the country play them against each other to your advantage.

Can you get your old life back, or even something better? Will you fight for change and truth or uphold the status quo? Who are you willing to sacrifice to get what you want?","Genre(s): Strategy, General"
BEHOLDER: COMPLETE EDITION,"Seize control of your destiny in a grim dystopian world over which the State has absolute authority. Privacy is dead in this forbidding new age but you still have to make a living. As the manager of a government-run apartment building, you must keep your residents comfortable and well-fed while fulfilling the directives of your superiors, who insist on knowing everything that's going on between your dilapidated walls.","Genre(s): Strategy, General"
BEHOLGAR,"An evil sorcerer reads the ancient book and invites an evil god to earth. It is necessary to eliminate this evil threat. And the fate of the earth is in the hands of a barbarian.

Beholgar is a classically styled 2D metroidvania adventure. Explore caverns, ancient woods, and deadly castles; battle creatures and solve ancient mysteries at the kingdom.","Genre(s): Action, Platformer, Metroidvania"
BELOW,"BELOW is a solitary journey through the haunted depths of a forbidden isle. Test your mettle in a large, interconnected underworld crawling with cunning wildlife, deadly traps, while stalked by a shadowy presence. Survive the perils of The Depths, and unearth what lies below...","Genre(s): General, Action, Action Adventure, General"
BEN 10,"Ben, Gwen, and Grandpa Max once again have their cross-country road trip in the Rust Bucket cut short by super villains and their evil, world-threatening plans. As Ben Tennyson, it's up to you to save the world. Take on some of Ben's most infamous enemies, including Zombozo, Queen Bee, and the Weatherheads. Unlock and transform into all ten of Ben's incredible alien forms. Use each alien's powerful combat moves to lay the beat-down on enemies with devastating combos, and solve puzzles with each alien's unique abilities as you unravel exciting new stories in three all-new playable episodes.

Each brand new story is jam-packed with the humour and action you love from the Ben 10 animated series. Meet and interact with some of your favourite characters from the show, explore a wide range of destructible locations, find Ben 10 collectibles in surprising places, and take part in epic battles against Ben's most memorable enemies.

You'll need to use everything at your disposal to save the world. Starting with Four Arms, Heatblast and Cannonbolt, you'll soon unlock more of Ben's aliens, giving you access to the combat moves and puzzle-solving skills of each. Use each aliens unique abilities to navigate the world and solve puzzles, and their amazing combat abilities -- including Ultimate Attacks -- to take down the bad guys. Being a hero can be hard work... but it's a whole lot of fun!","Genre(s): Action, Beat-'Em-Up, 3D"
BEN 10: POWER TRIP,"Ben and his family are enjoying their European vacation... until evil magician Hex unleashes the power of four mysterious crystals! Only Ben 10 can break the curse so get ready to transform into powerful aliens to battle enemies, solve puzzles and freely explore an exciting 3D world. It's hero time!

With Gwen and Grandpa Max on your side, all the humor and rivalry from the Cartoon Network show is here. And since four arms are better than two, Kevin Levin is along for the adventure in local split-screen co-op. This is one Power Trip you'll want to take again and again.","Genre(s): Action, Platformer, 3D"
BEN-HUR,"Created to launch in conjunction with the film of the same name, Ben-Hur asks you to brave the twists of an ancient Roman arena and battle deadly charioteers for your life and the freedom of your family.","Genre(s): Racing, Arcade, Other"
BENDY AND THE INK MACHINE,"Bendy and the Ink Machine is a first-person puzzle action horror game that begins in the far days past of animation and ends in a very dark future. With twists and turns around every corner, this game promises to thrill you… and decimate your childhood.","Genre(s): Adventure, 3D, First-Person"
BERTRAM FIDDLE: EPISODE 2 - A BLEAKER PREDICKLEMENT,"After the world is devastated by a virus, you must now defend yourself against hordes of infected… sooner or later, however, your time will come. So it’s time to fight until the end! In this top-down, tactical shooter, prepare for each oncoming wave, buy weapons and ammo, and stay alive as long as you can.","Genre(s): Action, Adventure, General, Point-and-Click"
BEST MONTH EVER!,"Take part in a roller coaster of emotions with Louise embarking on a road trip of a lifetime through the late 1960s USA, trying to show her son Mitch how to navigate the often cruel modern world. Your choices matter!","Genre(s): Adventure, 3D, Third-Person"
BETTY BAT'S TREASURE HUNT,N/A,"Genre(s): Action, General, Arcade"
BEYOND A STEEL SKY,"You are Robert Foster. A child has been abducted in a brutal attack. You have vowed to bring him home. The trail has led you to Union City, one of the last remaining mega-cities in a world ravaged by shattering wars, and political meltdown.

Union City is a utopia, its people loving life under the control of an altruistic AI: ever-attentive androids, designer living, piazzas and bars. What's not to love? But this City has a dark underbelly...

From multi-award winning Revolution comes 'Beyond a Steel Sky', a groundbreaking 3D adventure thriller, set in an AI-driven future. Subvert the world, hack the systems and solve dark conspiracies to uncover the devastating truth.","Genre(s): Action Adventure, Adventure, 3D, Open-World, Third-Person"
BEYOND BLUE,"Beyond Blue takes players into the near future, where they will have the opportunity to explore the mysteries of our ocean through the eyes of Mirai, a deep-sea explorer and scientist. She and her newly-formed research team will use groundbreaking technologies to see, hear, and interact with the ocean in a more meaningful way than has ever been attempted. The game features an evocative narrative and exploration of an untouched world. Embracing the same inclusive development process that was used to create Never Alone (Kisima Ingitchuna), E-Line’s BAFTA award-winning game about Alaska Native culture, the company partnered with BBC Studios (developers of the acclaimed Blue Planet II), OceanX Media, world-class game makers, and some of science’s leading ocean experts to craft an experience that reflects the awesome wonder and unbounded mystery that infuses our planet’s beating blue heart.","Genre(s): Simulation, Adventure, General, 3D, Third-Person"
BEYOND ENEMY LINES - REMASTERED EDITION,"The world is near of nuclear apocalypse, a soviet seperatist group captured the control chip of a military satelite. It is your job to recover the chip! Equipped with state of the art weapons and equipment, you operate in absolute secrecy as a lone wolf far beyond enemy lines.

Think your way in, observe your enemies, sneak into their base and complete your objective. You have total freedom to choose your path - guns blazing or silent assassin - it's your choice! Beyond Enemy Lines is an unforgiving, intense experience where skill and tactical decisions matter!","Genre(s): Action, General, Shooter, First-Person, Arcade"
BEYOND ENEMY LINES 2,"Take the role of a special agent deployed deep beyond enemy lines where terrain and conditions are barbaric. You will seek, locate and destroy the enemy while causing havoc and confusion. Emerge a hardcore tactical experience in vast, nonlinear missions where skill and tactical decisions matter!","Genre(s): Action, General, Shooter, First-Person, Tactical"
BEYOND EYES,"Beyond eyes shows you the imaginative world of Rae, a 10 year-old girl, as she ventures outside her familiar surroundings in search of a fat cat named Nani. Rae isn't like most other girls. She lost her eyesight in an accident with fireworks when she was just a toddler and the experience left her traumatized. Fearing loud noises and public places, she hardly ever leaves her house, preferring to spend her free time in her special garden where everything smells pleasant and all is nice. Some people might feel sorry for Rae, being as isolated as she is, but Rae herself is perfectly content with her life especially after befriending a gorgeous full-figured stray feline she names Nani. When Nani goes missing Rae finally gains the courage to go outside for the first time on an wonderful and life changing journey to find her missing friend. The world outside is frightening and unfamiliar but, with the guidance of the player, Rae learns to overcome her fears and finds beauty and possible new friends outside of her golden cage.","Genre(s): Action Adventure, General"
BFF OR DIE,BFF or Die is a cozy/crazy couch co-op puzzle game for one to four players. As time traveling aliens you're sent on a risky rescue mission to Earth! Use your gadgets collaboratively to overcome danger and survive as a team.,"Genre(s): Puzzle, Action"
BH TRIALS,"BH Trials is an obstacle course game where you drive a digger with no transmission, steering, or brakes. Learn how to use the digger's arms to crawl, climb, and avoid obstacles in this unique driving game. Try to control a mechanical spider in the up to 4-players co-op mode.","Genre(s): Action, Simulation, General, Vehicle, Civilian"
BIFROST BATTLE,N/A,"Genre(s): Action, Beat-'Em-Up, 2D"
BIG BASH BOOM,"Big Bash Boom is this summer's arcade blast for the whole family. Fully licensed with all your favourite Big Bash heroes, teams, and mascots, Big Bash Boom is all about whacking spectacular sixes... and then doing a little dance just to rub it in. Use powerups to get an edge on the field, or bling out your favourite team with a rich assortment of hilarious unlockable equipment options. Play along with Australia's biggest competition as it happens, and dominate your living room!","Genre(s): Sports, Team, Cricket"
BIG BUCK HUNTER ARCADE,"Big Buck Hunter will bring the arcade experience to your living room with this fast paced, addictive arcade shooter! The all new control and aim mechanics will make this a must pick up and play arcade shooter experience. Travel around the globe and take down wild game in Whitetail and Moose adventures or try your aiming and speed skills in epic bonus challenges. Play alone or with a friend to compete for the highest score, or try to beat the numerous bonus challenges. The perfect game for the Big Buck hunter fan, with easy to pick up controls that still pack a challenge for experienced players.","Genre(s): Sports, Individual, Nature, Hunting"
BIG CROWN: SHOWDOWN,"Big Crown: Showdown sees friends become foes as they compete for the crown in 4-player local and online multiplayer combat, set over 3 wacky worlds full of medieval shenanigans. Avoid perilous hazards and engage in frantic fights as you attempt to knock your opponents off 15 crazy courses in the ultimate royal battle.","Genre(s): Action Adventure, General"
BIG JOURNEY TO HOME,"You play as Jake, a simple guy who accidently got into trouble. What will happen to him, how he will behave, will he get home or not, all that depends on you.

You will encounter a variety of creatures along your way, from roaches to huge scorpions, lizards and even small hamsters! The game requires you to plan every step, so that monsters won't have you for dinner.

Learn how Jake ended up in the forest and help him back home.

Travel through dark forests, undergrounds, cold ice caves and hot deserts!

Solve unique puzzles destroying wile monsters along your way!

Play co-op with a friend! Learn how fun it is to solve puzzles together.","Genre(s): Strategy, Puzzle, Action, Turn-Based, Tactics"
BIG PHARMA,"Big Pharma is part business sim, part logistics puzzle. It’s one thing to work in the lab perfecting new formulas, but converting the ‘sciency stuff’ into cold hard cash means bringing an engineering and business mind to the problem. Factory space is expensive, and those fancy new agglomerators and centrifuges don’t always slot nicely together.","Genre(s): Strategy, Management, Business / Tycoon"
BIG RUMBLE BOXING: CREED CHAMPIONS,"Do you have what it takes to be a champion? Train, fight, and win like Adonis Creed and Rocky Balboa in this knockout boxing game. Are you ready to become a boxing champion? Step into the ring and show off your boxing skills in a knockout arcade experience. Fight as one of 20 iconic characters from the Creed and Rocky movies. Take on world-class opponents across a variety of thrilling locations, or challenge your friends and family in intense, head-to-head matches.","Genre(s): Sports, Individual, Combat, Boxing / Martial Arts"
BIKE MAYHEM 2,"Smash down trails, launch huge jumps, pull off insane tricks, win tons of gear, build trails and challenge your friends to be the King of the Mountain.","Genre(s): Sports, Individual, Biking"
BIKER RUN,N/A,"Genre(s): Racing, Arcade, Automobile"
BIMOCHI GOLD RUSH ADVENTURE,"Welcome to Bimochi Gold Rush Adventure， where you main goal is collect all the coins in each level, and find your way to the final boss! Jump on platforms and avoid dangerous traps. Enjoy this adventure and defeat the final boss! Have a nice adventure!","Genre(s): Action, Platformer, 2D"
BINARIES,"Test your skills and reflexes as you simultaneously guide two lovable (may not be lovable) balls through over 100 controller-smashingly (may not even be a word) tough platform challenges. Control both balls at exactly the same time as you try to avoid the death and danger that awaits their every move. Oh, and there are jokes. (May not be funny.)","Genre(s): Action, Platformer, 2D"
BINGO HALL,N/A,"Genre(s): Miscellaneous, Gambling"
BIOMUTANT,"Biomutant is an open-word, post-apocalyptic Kung-Fu fable RPG, with a unique martial arts styled combat system allowing you to mix melee, shooting and mutant ability action. Your actions play a major part in the unfolding of a story where End is coming to the New World. A plague is ruining the land and the Tree-of-Life is bleeding death from its roots. The Tribes stand divided, in need of someone strong enough to unite them or bring them all down...
Although you are guided through the world by a Storyteller that narrates every step of your journey, it's your actions and choices that'll decide how your story of survival ends.","Genre(s): Role-Playing, Action RPG"
BIOSHOCK: 10TH ANNIVERSARY EDITION,"Ten years ago, the award-winning BioShock franchise redefined gaming with its expansive world building, gripping narrative, and intense gameplay. To celebrate this milestone, the BioShock 10th Anniversary Collector's Edition features an all new iconic statue featuring the Big Daddy and Little Sister.

This edition includes:

* 11"" Collectible Big Daddy & Little Sister Statue - Featuring Lights, Audio, and a Motorized Drill
* BioShock: The Collection - All three BioShock games and DLC, beautifully remastered in 1080p
* Numbered Certificate of Authenticity","Genre(s): Action, Shooter, First-Person, Arcade"
BIOSHOCK: THE COLLECTION,"Return to the cities of Rapture and Columbia and experience the BioShock franchise like never before, remastered in 1080p. BioShock: The Collection contains all single-player content from BioShock, BioShock 2, and BioShock Infinite, all single-player add-on content, the “Columbia’s Finest” pack, and Director’s Commentary: Imagining BioShock, featuring Ken Levine and Shawn Robertson.","Genre(s): Action, Miscellaneous, Shooter, Compilation, First-Person, Arcade"
BIPED,Biped is a coop action adventure game with a strong focus on moment-to-moment collaboration between 2 players.,"Genre(s): Action, General, Platformer, 3D"
BIRD GAME +,"A short game about flying around without bumping into things.

You control a bird and must navigate around various obstacles.

Explore 3 well thought-out levels, each with a unique boss fight.","Genre(s): Action, Adventure, General, Shooter, Rail"
BIRDCAKES,"After a picnic went wrong, Pancake, the flying cupcake, will try to protect his girlfriend Cherry from hungry flies. Featuring randomly generated levels, colorful 2D art, tight shooting controls, and fluid aerial movement mechanics, you’ll be set for a wacky flight through the kitchen and beyond. [Xbox.com]","Genre(s): Action, General, Shooter, Shoot-'Em-Up, Top-Down"
BIRTHDAY OF MIDNIGHT,"From the creators of Midnight, Midnight Deluxe, and 36 Fragments of Midnight comes another round of golf-like action fun. Everyone’s favorite fairy is back and ready to be once again launched into the sky. But as always, treacherous obstacles like spikes, circular saws, and plenty of other dangerous hazards are par for the course. To earn a perfect score you must accurately complete each level in the minimum number of strokes, providing an additional layer of challenge. Do you have the skill to swing for a hole in one?","Genre(s): Action, Platformer, 2D"
BIT DUNGEON+,"Bit Dungeon+ is a two-player action rogue-like adventure. You and your loved one have been captured and trapped in a dungeon for a thousand years. You wake up in a cell – grab your weapon and let the quest to find her soul begin!

Explore randomised dungeons and hack and slash your way through dangerous bosses. The difficulty increases as you become stronger and stronger, so upgrade your character with powerful passive abilities.","Genre(s): Action Adventure, General"
BIT ORCHARD: ANIMAL VALLEY,"UPGRADE YOUR ORCHARD

Sell your apples to earn money and improve your orchard. Expand your land and find new secrets. Who knows, maybe you'll make new friends along the way...

RETRO GRAPHICS

Enjoy a trip down memory lane, with stylized 2D graphics, resembling old Game Boy titles. If you love pixel art games, you shouldn't hesitate to try out this charming game.

CHIPTUNE MUSIC

You’ll hear a few catchy tunes to improve on your adventure. You can swap between tracks, whenever you go back into your room, for some much-needed rest.","Genre(s): Simulation, Virtual, Virtual Life"
BITE THE BULLET,"Satisfy your appetite for destruction in this roguelite RPG shooter where you must eat to powerup your character, weapons, and abilities. Consume strange species to add new entries to DarwinCorp's mysterious Compendium. Catalyze crafting fermentations in your belly by eating enemies! Explore three branching skill trees based on your diet - remember, you are what you eat!","Genre(s): Action, Platformer, 2D"
BITMASTER,"Bitmaster is a dynamic and colorful twin-stick shooter. You need to destroy the enemies and collect power-ups to improve weapons. Game balance changes periodically, which makes the game unpredictable and difficult to get a high score.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
BLACK & WHITE BUSHIDO,"Black & White Bushido is a 2D friendship destroying stealth-em-up arena brawler that pits the forces of light and shadow against each other. An addictive couch party game with a unique twist; choose a side grab some friends and enter a world where skill and reflexes determine who will survive and claim victory. Fight for control hiding from your foes and seizing objectives. Hide in your respective colours and move without being seen. Pick up items and use them to surprise, maim and trap your opponents.","Genre(s): Action, Platformer, 2D"
BLACK BOOK,"A fusion of card-based RPGs and Adventure games, ""Black Book"" is a haunting tale of a young sorceress, who gave her life to serve the dark forces. Dive into the cold, yet alluring world of Russian folktales - and uncover the secrets that hide in the darkness.

A young girl named Vasilisa, destined to become a witch, decides to throw her fate away and marry her beloved - but that dream is shattered when her betrothed dies under mysterious circumstances. Aching for her lost love, Vasilisa seeks out Black Book - a demonic artifact, said to be powerful enough to grant any wish to the one who uncovers all 7 of its seals.

Join Vasilisa in her adventures across Russian countryside, as she solves the woes of common folk by confronting demons and performing exorcisms.","Genre(s): Adventure, General"
BLACK DESERT,"Black Desert is a living-world MMORPG. Experience fast-paced, action-packed combat, hunt monsters and huge bosses, fight with friends in a guild to siege nodes and region castles, train your life skills such as fishing, trading, crafting, cooking, and much more.","Genre(s): Role-Playing, Massively Multiplayer"
BLACK LEGEND,"Lead a band of Mercenaries into a city covered by a mysterious deadly fog. Face a cult that has formed around the creator of this fog.
Piece together stories from the few survivors, items and locations to discover the truth behind the situation, and stop the spread.","Genre(s): Role-Playing, Strategy, Turn-Based, General, Tactics"
BLACK MIRROR,"Scotland, 1926. Following the death of his father, David Gordon visits his ancestral home for the first time in his life. A life that is soon threatened by the dark secrets that claimed the sanity of many Gordons before him. Black Mirror Castle demands an offering.","Genre(s): Adventure, 3D, Third-Person"
BLACK PARADOX,"Black Paradox is a fast-paced roguelite shoot 'em up. Unleash an arsenal of weapons, power-ups, drones, and other upgrades to survive waves of enemies, against a backdrop of vibrant pixel art and synth-wave soundtrack.","Genre(s): Action, Shooter, Shoot-'Em-Up, Horizontal"
BLACK THE FALL,"After decades of toil, an old machinist plots his escape from the oppressive grasp of the Communist regime. Through hidden passages, shadow and grief, he struggles. Ingenuity, reflexes and deception are his tools.","Genre(s): Action, General, Platformer, 3D"
BLACK WIDOW: RECHARGED,"The original cult classic arachnid-starring, twin-stick shooter returns. Just in time for Halloween, Black Widow: Recharged has been reimagined for modern gameplay, with vibrant visuals, powerful new abilities, and another original soundtrack from award-winning video game composer Megan McDuffee. Aim for a high score in the old school arcade mode and earn bragging rights with your name at the top of the leaderboard. Or test your skills and rank on the boards in one of 30 intensely creative challenges, which twist the gameplay in new and exciting ways. Collect cash from downed enemies to charge a powerful web blast, or pick up one of a dozen new power-ups including explosive blasts, spread-shots, and fear, trapping all enemies in your web. Every mode and level is playable in local co-op mode with a friend.","Genre(s): Action, Shooter, Arcade, Shoot-'Em-Up, Top-Down"
BLACKBERRY HONEY,"Set in England during the mid-19th century, Blackberry Honey is a tale about maids, music, and unexpected romance.

The story begins when our heroine, Lorina Waugh, is fired from her previous position as a maid in the stately home of Hartwell. With a large family back in Liverpool to support and a string of unsavoury comments circulating about her rather sudden dismissal, Lorina's search for a new place of employment leads her to Bly.

Forced to work for fourteen hours a day, with little chance to rest, Lorina is bullied by the senior maids and, most embarrassingly of all, by the twelve-year-old daughter of the Lennard family, Lady Constance.

One of the only maids who deigns to speak to Lorina is the mysterious Taohua but Lorina wishes she wouldn't. Despite her lowly status, Taohua has her own private bedroom, never goes to church with the rest of the servants, and rarely interacts with anybody. Her aloof, almost cat-like personality, coupled with her peculiar complexion, eyes, and name, have inspired more than a few rumours around the Shropshire countryside that she might be a witch.

Lorina knows she should keep her distance from Taohua, and she wants to most desperately... but maybe there's a pinch of truth to all the rumours, because she soon finds herself under the older woman's spell.","Genre(s): Adventure, Visual Novel"
BLACKGUARDS 2,"Blackguards 2 will stay an SRPG focussing on turn-based, strategic battles with a group of scoundrels as anti-heroes.","Genre(s): Strategy, Turn-Based, Tactics"
BLACKHOLE: COMPLETE EDITION,"Your spaceship is sucked through a blackhole and crashes on the Entity, an alien object resembling a planet. It’s up to you to team up with the ship’s sarcastic AI, save the crew, and repair your ship by navigating the planet’s caves, lost cities, and dark forests in this award-winning hardcore platformer.","Genre(s): Action, Platformer, 2D"
BLACKJACK 2018,N/A,"Genre(s): Miscellaneous, Gambling"
BLACKJACK X,N/A,"Genre(s): Miscellaneous, Gambling"
BLACKSAD: UNDER THE SKIN,"A dark corruption scandal in the heart of the New York City's underworld for charismatic detective John Blacksad!

The 50s, New York City: Joe Dunn, owner of a boxing club, is found dead. Meanwhile, rising star Bobby Yale, due to take to the ring for the most important fight of his career, has mysteriously disappeared. Sonia Dunn, Joe's daughter, takes over the gym and must deal with its financial woes. She hires private detective John Blacksad to investigate Yale's disappearance. This sinister case will take our investigator to the darkest, most dismal depths of New York.

With its anthropomorphic characters and its incredible 1950s feel, BLACKSAD: Under the Skin promises all the eerily dark adventure of a detective novel, just like the eponymous comic book series.

Conduct the investigation in your own way. Make use of your feline senses as you hunt for new clues. Make decisions on behalf of Blacksad and influence the outcome of the case.","Genre(s): Adventure, 3D, First-Person"
BLACKSEA ODYSSEY,"The hunt is on. Get ready to battle colossal space monsters in Blacksea Odyssey, a savage, top-down rogue-lite shoot ’em up RPG.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
BLACKSMITH OF THE SAND KINGDOM,Become the court blacksmith adventuring in the Sand Kingdom in a fantasy RPG!,"Genre(s): Role-Playing, Japanese-Style"
BLACKWIND,"Blackwind is a hack n slash shooter platformer sci-fi action game that puts you against hordes of enemies and frantic battles in a desperate attempt to stop a planetary invasion. The Raknos hordes are raging the planet Medusa-42, a small human mining colony. When the starship “Pandora” is shot down, James Hawkins finds himself trapped inside a military Battle Frame prototype. He’ll have to discover its powers to survive the alien forces in different planet locations while searching for his father.","Genre(s): Action, Action Adventure, Shooter, Linear, Shoot-'Em-Up, Top-Down"
BLACKWOOD CROSSING,"Blackwood Crossing is a single-player, first person narrative game. An intriguing tale exploring the relationship of Scarlett and Finn, two siblings who are growing apart. When their paths cross with a ghostly figure, an ordinary train ride evolves into a haunting adventure of love, death and magic.","Genre(s): Adventure, General"
BLADE ASSAULT,"After the devastating Red Stone War, the world is divided into three regions: the mutant infested outside grounds, the Undercity where people have fled to seek refuge from mutants, and the sky city Esperanza where the rich and powerful rule over the world. Fight against the corrupt military of Esperanza as part of the resistance force of the Undercity. Bring the corrupt to justice by becoming stronger and fighting alongside your trusty comrades.

Blade Assault is a 2D action rogue-lite platformer with beautiful pixel art set in a desolate sci-fi world. The game features tight, responsive controls and a cast of charming characters. Playable characters have various transformable weapons that they use to battle against their enemies. Weapons can be further customized by different ""Cores"" and ""Transform Upgrades"" that appear randomly during gameplay.","Genre(s): Action, Platformer, 2D"
BLADE RUNNER: ENHANCED EDITION,"In 1997 Westwood Studios released a title that won universal praise from gamers and critics all around the world, along with accolades like AIAS's Adventure Game of the Year award. Set in the same time and universe as the 1982 classic science fiction film by Ridley Scott, Blade Runner video game is now making a big comeback on modern consoles!

Armed with your investigative skills and the tools of the Blade Runner trade, you'll be immersed in a world that lives and breathes around you with breakthrough lighting and visual effects. Your ability to survive will be put to the test in the richest game environment ever.","Genre(s): Adventure, Point-and-Click"
BLADED FURY,"This is a classic Chinese fantasy 2D action game, based on Chinese history, mythology with a dash of surrealism in the mix.

At the beginning of the Warring States Period, Tian, an officer under Duke Kang of Qi, set a trap that killed the Duke, exiled Ji, the younger princess, and put Shu, the elder princess, under house arrest. This event established the Tian family as the ruler of Qi. Ji tried to seek justice, but failed repeatedly. During her journey, she encountered ancient deities like Hou Yi and Jingwei, who helped her obtain the powers of Soul Slivers, and eventually returned to the Palace to finish what she started. As the dust settled, Ji realized this was the beginning of a new world...

Features
- Unique art style with mysterious Chinese elements.
- Fluid combat experience and style that's easy to learn but difficult to master.
- The Soul Sliver system adds depth and changes the pace, making combat more exciting.","Genre(s): Action, Beat-'Em-Up, 2D"
BLADESTORM: NIGHTMARE,"Bladestorm signifies a break from the tradition of basing games on Japanese and Chinese history by being set within the Hundred Years' War. This infamous European conflict between the English and French provides the setting in which hundreds upon hundreds of soldiers clash on the battlefield. The successful completion of missions depends on a myriad of elements that put the player’s scraping abilities, strategy, tactical and leadership skills to the test. The Mercenary does not hit the field alone, but as the commander of an army unit chosen to fit each individual situation as some missions are better fought with foot soldiers, others with lances, archers, light cavalry, or a combination of melee, ranged and mounted units.","Genre(s): Action, Beat-'Em-Up, 3D"
BLAIR WITCH,"Your darkest fears will awaken in these woods.
It's 1996. A young boy disappears in the Black Hills Forest near Burkittsville, Maryland. As Ellis, a former police officer with a troubled past, you join the search. What starts as an ordinary investigation soon turns into an endless nightmare as you confront your fears and the Blair Witch, a mysterious force that haunts the woods

Blair Witch is a first-person, story-driven psychological horror game based on the cinematic lore of Blair Witch.
A STORY OF THE HUMAN DESCENT INTO DARKNESS
From the creative minds behind the critically acclaimed Layers of Fear, experience first-hand the toll that fear can take on the mind in an original story inspired by the cinematic lore of Blair Witch.
FIND THE WAY THROUGH THE HAUNTED WOODS
With just your loyal dog Bullet by your side, navigate your way through a cursed forest that warps and distorts both time and space.
YOUR SANITY AGAINST HER CURSE
Stand against the horrors of the Blair Witch and the decaying sanity of a man burdened by his past.
HOW WILL YOU FACE YOUR FEARS?
As you delve deeper into the woods, how you react to danger and behave under pressure will ultimately teach you more about yourself.","Genre(s): Action Adventure, Survival"
BLASPHEMOUS,"Blasphemous is a punishing action-platformer that combines the fast-paced, skilled combat of a hack-n-slash game with a deep and evocative narrative core, delivered through exploration of a huge universe comprised of non-linear levels.","Genre(s): Action, Action Adventure, Platformer, Open-World, , Metroidvania"
BLAST 'EM BUNNIES,"Defend your burrow from a horde of evil bunnies before they take you down! Pick them off using your carrot rifle, pelt their furry hides with your watermelon pip machine gun or wreak havoc with your runner bean laser. Want to destroy as many of their colony as possible? Your turnip mortar will do maximum splash damage. These crafty cottontails come in all shapes and sizes. Some of them can even fly, so you'll need every weapon in your armory to deal with this barbarous band of bitter bunnies. How they became evil, where they came from and who taught them to fly remains a mystery. But there's no time to ponder these rabbit riddles, just grab your favorite weapon and...Blast 'Em Bunnies!

-Endless arcade style first person shooter
-Motion controls enable players to physically tilt or turn to aim
-Collect coins and spend them on upgrades, utilities, and unlocks
-4 weapons to purchase and upgrade
-16 bullets to purchase and equip (4 for each weapon)
-DLC available for purchase. Download new arenas and bunny skins including: Abandoned Highway Arena, Eastern Valley Arena, Zombie Bunny Skins, and Ninja Bunny Skins.","Genre(s): Action, General, Shooter, First-Person, Arcade"
BLAST BRAWL 2,"A fast-paced fighting game where any hit means DEATH! Battle your friends as a vastly diverse selection of characters, experiencing intense combat where every blow earns a kill, and skill reigns supreme. And what's victory without a little dance?","Genre(s): Action, Platformer, 2D"
