title,description,genres
DUAL CORE,"Pew pew pew!

A vibrant, futuristic, twin-stick style shooter.

It's 2147 and the human colony on Europa has suffered a terrible fate. Rebooting after hibernation, two super-intelligent AI cores awake to find themselves installed within a couple of old security drones. Their attempts to uncover what occurred may end up becoming a lower priority than merely surviving...

-Lots of robots, lots of lasers, lots of aliens, lots of explosions! Retro arcade influences are front and center, but spiced up with a colorful modern style, a generous helping of sci-fi intrigue, and a dash of RPG ELEMENTS!
-Don't fight alone! Up to 4 players can battle together, but you'll always have your trusty (AI-controlled) robo-buddies by your side.
-In Story mode, battle through the labyrinth-like colony as you attempt to shed light on the calamity that has ocurred.
-Hone your skills in the arena-style Arcade mode. Battle wave after endless wave of the alien horde.
-Versus mode pits you against up to 3 friends.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
DUNGEON HEARTS DX,"Puzzle your way to defeating the Dark One in this Nintendo exclusive!

Dungeon Hearts fuses the strategy and pattern matching of puzzle games with the kinetic pace of action games. Align magical runes as they flow along the Fatestream to attack, defend, and conjure magic in frenetic battles against a bestiary of fantastic creatures out to use those same runes against you. Control eight heroes and form parties of 4 in order to defeat the Dark One! Along the way players will unlock new Abilities, Tavern Music and full Soundtracks!","Genre(s): Puzzle, Matching"
DUNGEONS & DRAGONS: CHRONICLES OF MYSTARA,"As the first modern role playing game, the Dungeons & Dragons franchise from Wizards of the Coast gave birth to numerous products including two arcade titles from Capcom, Dungeons & Dragons: Tower of Doom and its sequel Dungeons & Dragons: Shadow over Mystara. Both these titles are now being re-released with updated HD graphics and a wealth of other enhancements as a definitive double pack entitled Dungeons & Dragons: Chronicles of Mystara.","Genre(s): Action, Miscellaneous, Beat-'Em-Up, Compilation, Compilation"
DYING IS DANGEROUS,"Observe and remember the traps or... die !

""Dying is Dangerous"" is a memory game set in a horrific and dangerous world. Observe and remember the traps or... die !","Genre(s): Puzzle, Action, General"
EARTHBOUND BEGINNINGS,"The Year is 198X. As Ninten, a boy from Podunk with psychic powers, you must locate the eight melodies to aid the Queen of Magicant. Armed with your trusty baseball bat, you’ll fight crazed hippies, zombies… and the occasional Magic Snail? Find out what’s causing these strange phenomena in the first-ever US release of the EarthBound Beginnings game.","Genre(s): Role-Playing, Japanese-Style"
EARTHLOCK: FESTIVAL OF MAGIC,"Desert scavenger Amon soon finds himself in his life's adventure when he crosses paths with a most peculiar creature back home in Zaber. Join Amon and other heroes in this turn-based fantasy RPG, on a journey across the world of Umbra; a mysterious, beautiful but harsh planet that stopped spinning thousands of cycles ago. With a unique set of customizable characters, all with their own personalities and journeys of self-discovery, you will scavenge, explore and fight your way from the everlasting day-side and into the darkness of perpetual night. To save Umbra you must unlock its secrets, expose the shadows, and defeat a growing evil. [Snowcastle]","Genre(s): Role-Playing, General"
EBA & EGG: A HATCH TRIP,"In Eba & Egg: A Hatch Trip, control the two main characters simultaneously. Have the two characters split up onto multiple paths and try and find the best path to get a perfect score. Traverse challenging levels to hatch Eba's baby brother or sister. [Nintendo]","Genre(s): Action, Platformer, 2D"
ECTOPLAZA,"HAVE THE TIME OF YOUR AFTERLIFE

A breakneck game about irritable ghosts wreaking havoc on haunted hotels, paranormal guests, and each other.

Join a party of poltergeists as they rampage through underworld-renowned resorts from which they can never escape. Monster mash with up to four players and have the time of your afterlife.

-Choose from six unhappy haunts, each with their own stats and game-changing special abilities.
-Master a multi-tiered charge & fling system to unleash quick chomps, trick shots, and devastating ricochets.
-Smash your way through 5 settings and 15 different levels, each with different stage hazards.
-Be the last ghost standing in Afterlives, collect the most ectoplasm in Collectoplaza, or score the winning goal in Ghostball.","Genre(s): Action, Platformer, 2D"
EDGE,"EDGE is the third Indie game, after Swords & Soldiers and Frenzic, to be redeveloped and taken to other platforms by Two Tribes. The game now feels right at home on modern PCs and Macs, with super high resolutions and new special effects, while still keeping the retro vibe completely intact.","Genre(s): General, Puzzle, Action, Miscellaneous, Puzzle, General, Platformer, 3D"
EDUCATIONAL PACK OF KIDS GAMES,"Learn while playing video games!

Building Blocks is the video game version the classic wooden stacking blocks. The game lets you build anything you can imagine and uses realistic physics that simulate real-world gravity.

-Counting Sheep is a fun way to learn numbers 1 through 100.
-Menu Math is a fun way to learn addition and also become comfortable selecting items from a menu. All prices are rounded for simplicity to fractional 0.5's (Examples: 7.5, 3, 2.5, 8).
-Ice Cream Colors is a simple color identification game. A color is both shown (with spelling) and said aloud.
-Play Piano is a simplified piano. The piano helps develop creativity and might reveal musical talent. Who knows, your child might be the next big piano virtuoso.
-Shapes is the video game version of the classic shapes toolbox.
-SK8 is a cool skate boarding game that teaches addition based math. Solve a math problem to jump over the oncoming rock as you skate down the street.","Genre(s): Miscellaneous, Edutainment"
ELECTRONIC SUPER JOY,"Visually stunning platforming. Run and jump to pulse-pounding music. Brutally Challenging.

Visually stunning, hilarious, and infinitely challenging.

Critically acclaimed, adored for its style and praised for its spot-on platforming, the original Electronic Super Joy is legendary. Now you can play it on Wii U!

Electronic Super Joy is a brutally hard platformer set in a world of pulse-pounding electronic music. Run, jump, smash and fly your way through weird and different levels, with low-gravity, world rotation, giant monsters and swarming missiles.

Features:
-Levels designed around the music, not the other way around.
-60 levels, 6 worlds, 4 bosses.
-Wii U version Includes all bonus levels and the Micro Hell DLC
-8+ hours of gameplay.
-Double jump, ground-pound, flying, spaceship piloting, low gravity, you name it!
-Over an hour and a half of unique electronic music!","Genre(s): Action, Rhythm, Platformer, 2D, Music"
ELECTRONIC SUPER JOY: GROOVE CITY,"A Giant Robot Stripper called JoJo has smashed Groove City! She's angry because Dr Swinger stole her Laser-Nipples! Help JoJo reclaim her Laser-Nipples & defeat the Evil Plans of Dr.Swinger, with the help of Pope Boris the Super Sexy!","Genre(s): Action, Platformer, 2D"
ELLIOT QUEST,"Elliot can't die—but he's still running out of time. In Elliot Quest, the victim of a rare curse must find a cure before he's transformed into a demon.

After Elliot's wife disappears, he falls sick and attempts to take his own life--only to discovers that he can't die. Plagued by nightmares and growing weaker by the day, Elliot seeks out a local Sage, who tells him that he's the victim of a rare curse. A demon called a Satar is slowly consuming Elliot's vitality. If Elliot can't find a cure to the curse before it's too late, he will become a Satar. His only hope is to ask for the help of one of the island's Guardians, who have kept the Satar from taking over Urele.

Explore a vibrant open-world filled with hidden secrets and mysterious Guardians that can help cure Elliot's curse of immortality. Throughout this adventure you'll collect countless abilities and spells, quest through 5 dungeons and defeat 16 unique bosses along your way to unlocking multiple endings.","Genre(s): Action, Adventure, General, Platformer, Metroidvania"
EMOJIKARA: A CLEVER EMOJI MATCH GAME,"Speak the language of Emojis and Send Messages to your Friends

* So you say you have an addiction to emojis?
* Don't worry, so do we. We can help!
* Featuring hundreds of emojis and over a hundred word puzzles.
* Emojis unlock as you play in matching mode to use in creating your own emoji masterpiece!
* Have fun!","Genre(s): Puzzle, General"
ENDLESS GOLF,"Play a Round of Endless Golf!

Hit shot after shot as you play an endless amount of procedurally generated golfing holes that increase with difficulty, more hills, and tricky traps.

Enjoy the scenic pastures as you play all day and all night, never stopping. Watch as time passes you by.

Easy to learn touch controls, but hard to master. See how many holes you can get in as few strokes as possible. But don't worry, there is no win or lose, just Endless Golf.","Genre(s): Action, Sports, General, Individual, Golf, Arcade"
EPIC DUMPSTER BEAR,"Epic Dumpster Bear is an action packed platformer inspired by the 16-bit classics where you play as a dumpster bear with a chip on his shoulder. Over 70 levels filled with tricky platforming, challenging bosses, and secret levels to be discovered. Over 35 unlockable Miiverse stamps and bonus puzzle levels throughout the game that take unique advantage of the Wii U GamePad. [Nintendo]","Genre(s): Action, Platformer, 2D"
ESCAPE FROM FLARE INDUSTRIES,"Will you help Splat Escape?

So, there are these jerks who run a factory called Flare Industries who locked up and try to sell this slime-kinda guy called Splat. Splat doesnt really like being locked in a cage and wants to do his own thing, so he's trying to escape. He's gotta navigate the factory, solve puzzles, rescue his fellow slime homies, and ideally would like to not die. Think you can help him?

In Escape From Flare Industries, it's up to you to help Splat get out of the factory. Jump over acid, avoid spikes, rescue your friends, collect all the flasks, and fight the boss!","Genre(s): Action, Platformer, 2D"
ESPN SPORTS CONNECTION,"Play on your own, team up in co-op to experience new gameplay possibilities, or compete in multiplayer to take full advantage of Nintendo’s New Controller. Play six of the most popular sports: soccer, football, baseball, tennis, golf, and karting. Use the New Controller to control a blitz in football to sack the quarterback or score a curled free kick in soccer. Play with Wii MotionPlus using real sports gestures! Swing with precision in golf or hit a home run in baseball.","Genre(s): Sports, General, General, Individual, Athletics"
EVOFISH,"Go forth and conquer the vast expanses of the ocean. Go from prey to predator, while climbing your way to the top of the food chain.In this original arcade game, use one of the four playable Evofish species. Survive an increasingly deadly host of enemies, climb the evolutionary ladder by eating smaller fry and become the most fearsome predator in this hostile environment.Whether playing in ""Classic"" or ""Time Attack"" mode, you'll also get the chance to try your hand at daily challenges to win shells that you can then trade for a number of different bonus items.FEATURES : - Simple and addictive gameplay - eat or be eaten.- Several different species with their own characteristics.- 12 levels of evolution for each species.- Enemies and a game environment that evolve with each level.- A number of bonuses, such as potions, resurrection and bombs.- Several unlockable achievements in the Game Center.- Daily missions.-------------------------------CURIOUS? More info on: -------------------------------bulkypix.comfacebook.com/Bulkypixtwitter.com/Bulkypixyoutube.com/Bulkypix","Genre(s): Miscellaneous, Party, Party / Minigame"
EXCITEBOTS: TRICK RACING,"High-speed action. Robotic insect and animal racers. Wii Wheel controls. Bowling, poker, clowns - and sandwiches! Add them all together and you get the wild, nonstop fun of Excitebots: Trick Racing. This game takes the big-air thrills and simple pick-up-and-play controls of Excite Truck and ramps up the fun with a constant barrage of funky challenges and mini-games performed at blinding speed. Players shoot goals, throw pies and even play poker in the middle of rowdy races around off-road tracks. Having your vehicles drive, walk or fly around the track quickly is one thing, but it's more important to go around in style. Players earn stars for huge jumps, cool tricks and daring feats at high speed. Six players can race online via Nintendo Wi-Fi Connection in both Excite Race and Poker Race modes. If friends can't join online, players can exchange ghost data via WiiConnect24 and challenge their friends to outdo their most daring tricks.","Genre(s): Racing, Arcade, Automobile"
EXILE'S END,"EXILE'S END is a platformer with exploration elements set on a dangerous alien world. The game was developed by one-man indie studio Magnetic Realms with art, cutscenes, and music provided by legends of the 8 and 16-bit eras from Japan. It draws its thematic influence from the science-fiction films and anime of the 80s and its gameplay from classic action-adventure titles.","Genre(s): Action, Platformer, 2D"
EXPLODY BOMB,"Shoot enemies while guiding your bomb!

In EXPLODY BOMB you must play the role of aggressor and defender. On the television screen you must shoot down all enemies that attempt to attack you! On the Wii U GamePad you must guide your bomb between all obstacles! Quickly divert your attention between the two displays to try to rack up the highest score possible! How far can you make it before either your plane or your bomb is destroyed? Try out EXPLODY BOMB and try to obtain the highest score!","Genre(s): Action, Arcade"
EXTREME EXORCISM,"Extreme Exorcism is a paranormal platform experience in which every move you make comes back to haunt you. Assume the role of Mae Barrons, an extreme exorcist whose unconventional supernatural skills are called upon when everything and everyone else has failed to rid a haunted house of its ghostly presence.","Genre(s): Action, Platformer, 2D"
F1 RACE STARS: POWERED UP EDITION,F1 Race Stars is a fast-to-the-fun arcade racing game for all ages.,"Genre(s): Driving, Racing, Arcade, Formula One, Formula One, Automobile"
FACTOTUM,"In space no one can hear you remotely operate twin quadrupedal deck walker robots.

You're in deep space and something's collided with the ship. Main power is offline and you're trapped. It's lucky you have access to this walker control terminal. It's a little old but with these two robots and some clever thinking you might be able to get power back on-line and save the day.

Control two walker robots and puzzle your way through 30 levels to restore power, reactivate the life support and solve the mystery of the collision. An unknown voice on the other end of the terminal is your only guide.

Find the data-stream collectables in each level to unlock Miiverse stamps. Use them in the walker control terminal to call for help or broadcast help to others.","Genre(s): Puzzle, Action"
FALLING SKIES: THE GAME,"Based on Falling Skies, the television sci-fi series, Falling Skies: The Game is set in a world devastated by Espheni aliens. Following the destruction of an Espheni tower at the end of season 3, the Second Mass happen upon the wreckage of an ambushed convoy. Among the survivors is an engineer who claims he can create a powerful weapon that may level the playing field in the fight against the Espheni invaders, but it will require the 2nd Mass to undertake several risky operations to collect all the components. What seems at first to be a routine salvage mission quickly becomes a battle for mankind’s very existence. [Little Orbit]","Genre(s): Action, Strategy, Turn-Based, General, Tactics"
FAMILY PARTY: 30 GREAT GAMES OBSTACLE ARCADE,Family Party: 30 Great Games Obstacle Arcade brings home wacky and wild competitions for kids of all ages.,"Genre(s): Miscellaneous, Party, Party, Party / Minigame"
FAMILY TENNIS SP,"Smash away in this exciting new tennis game.

Choose from eight cute anime characters and challenge opponents in a tournament or practice match. It's your choice to play singles or doubles.

Play alone or together with up to four friends. Dominate your opponents with super shots and master all special courts. Need a break between games? Then check out the exciting minigames.","Genre(s): Sports, Traditional, Team, Individual, Tennis"
FAST & FURIOUS: SHOWDOWN,Fast & Furious: Showdown has players strap in and get ready for an intense ride as you team up to take down a dangerous international gang that can only be stopped by you and the rest of the Fast & Furious crew.,"Genre(s): Driving, Racing, Arcade, GT / Street, GT / Street, Automobile"
FAST RACING NEO,FAST Racing Neo is a futuristic racing title. Pick your favorite Anti-gravity vehicle and become a legend in the FAST Racing Neo league.,"Genre(s): Driving, Racing, Arcade, Futuristic"
FAT CITY,"Use your cunning and brain power to plan heists and getaways to pull in the big bucks in the city that never sleeps.

Chris Knox is the leader of a crew of former special ops personnel and highly-skilled hustlers. Help Chris and his team plan and pull off audacious heists from high-value targets to fill the coffers of a surreptitious crime syndicate in exchange for the life of a loved one.

In this action-puzzler with 60 targets spread throughout the five boroughs of New York City, players will use their cunning and brain power to plan raids and execute getaways to pull in the big bucks in the city that never sleeps.","Genre(s): Puzzle, Action"
FAT DRAGONS,"Fly your dragon and do battle against enemy dragons invading your territories!

Fight within the ruins of an ancient city, then do combat among the trees in a lush jungle. Dodge the molten fireballs launched from an erupting volcano, and avoid pounding rain storms and lightning strikes amidst the clouds - all while taking out your enemies!

- Light-hearted arcade action.
- Colorful retro-styled graphics.","Genre(s): Action, Platformer, 2D"
FATAL FRAME: MAIDEN OF BLACK WATER,"Fatal Frame/Project Zero: Maiden of Black Water consists of 3 interconnected stories that converge to uncover the truth behind a recent group of tragic deaths in a forest marred by a history of suicides. As one of 3 people with the power of the Camera Obscura and the ability to see the shadows of those spirited away, you will explore the ruins of an eerie inn, a shrine filled with life-size dolls, and a lake full of dead priestesses. Each shadowy location is connected by a stream of water flowing throughout the mountain, and this once holy water is tied to the darkest mystery of all—the history of death and darkness on Mt. Hikami.","Genre(s): Action, General, Horror, Action Adventure, Survival"
FIFA SOCCER 13,"Innovations that make use of the Wii U GamePad put you on the pitch and immerse you in the game. Lift and look through the GamePad touch screen to aim the ball on set pieces and penalty kicks, then put the perfect curve on your shot and let it fly. Shake the GamePad to activate Touch Screen Shooting, removing the element of ‘hit and hope’ and allowing for accuracy. Further, connect and interact with friends - see them online and invite them to play, or message them in real time using touch screen typing.","Genre(s): Sim, Sports, Traditional, Team, Soccer, Sim"
FIFTEEN,In FIFTEEN you must rearrange the blocks to display in order of 1 to 15. Using the touchscreen you can manipulate the position of each block to accomplish the objective. Beginning order of the blocks is random and adds to the endless challenge!,"Genre(s): Puzzle, Logic"
FIRE: UNGH'S QUEST,"FIRE, the new adventure by Daedalic Entertainment is set in the cutest Stone Age setting you´ve ever seen. Ungh, FIRE’s adorably-naive protagonist, was supposed to watch over his tribe’s fireplace during the night. But being a slightly clumsy Neanderthal, Ungh fell asleep and let the fire go out.","Genre(s): Puzzle, Action"
FIST OF THE NORTH STAR: KEN'S RAGE 2,Fist of the North Star: Ken's Rage 2 follows the storyline of the entire manga and offers players a variety of modes and new features.,"Genre(s): Action, Beat-'Em-Up, Beat-'Em-Up, 2D, 3D"
FIT MUSIC FOR WII U,"Are you tired of the gym? Bored of the same exercises? Do you want to have a physique everyone will envy? There is Fit Music for you now!

Train all of your muscles with DANCE music doing fun, professional exercises. Bring the gym into your living room, forget the stress and join the party!

The champion of fitness, Patsy Salviato, will be your personal trainer, guiding you through different game stages, with personalized difficulty levels, created in collaboration with SHRO of Philadelphia and the Human Health Foundation with whom Fit Music participates in the Fight Obesity campaign. Each section offers all the typical phases of the workout with warm-up exercises, an intensive training phase and a final relaxation phase. Thanks to a simple and intuitive interface for the new Wii U and a rhythmic and involving soundtrack, burning calories and toning your body has never been so much fun.","Genre(s): Miscellaneous, Exercise / Fitness"
FLAPP & ZEGETA,"Save the galaxy one flapp at a time

Play as Flapp and help save Zegeta who has been kidnapped by evil aliens, you must flap your way across the galaxy in order to gain speed of light and reach your destination, but the question is: Are you up to the challenge?

Warning: this may be one of the most challenging games of all times it may require a high level of intelligence and reflexes to get through

We wish you the best in saving your friend and the galaxy.","Genre(s): Action, General, Arcade"
FLIGHT OF LIGHT,"Fly through fantastical worlds, or race friends through futuristic cities in time to the music

Fly through fantastical forests in-time to the funky beat. Cruise round coral reefs to the sounds of chilled out tunes. Race past asteroid colonies powered by electronic music!

Flight of Light is a rhythm game that cuts its own path through exotic, otherworldly landscapes. Leave a trail of stars and stream of colours in your wake as you collect points and speed boosts by moving in-time to the music.

With an upbeat soundtrack that uniquely blends an eclectic mix of funk, EDM, vapourware and other genres. Play with up to 5 friends across score and race modes, both cooperatively and competitively.","Genre(s): Racing, Arcade, Futuristic"
FLOWERWORKS HD: FOLLIE'S ADVENTURE,"Follie has mysteriously crashed on an unknown planet. Solve the mystery and help Follie escape!

During a routine space trip, Follie's ship mysteriously malfunctions and crash lands on Elilia, losing all her precious Flowerwork seeds. Before long, her very sanity is threatened by drab surroundings and uncooperative gnomes.

Help Follie find her seeds, use Flowerworks to transform her surroundings and show those gnomes who is boss on the way to unlocking the secret of Elilia.

-Flowerworks has 5 difficulty levels to cater to all skill levels, but beware - becoming a Flowerworks master in this 20hr puzzle/adventure game is not for the faint of heart!
-Flowerworks HD is a high-definition, 1080p/60fps remastered version of the WiiWare release Flowerworks.
-Flowerworks HD supports two-player cooperative play, off-TV play and supports both the Wii U Pro Controller and Wii Remote.","Genre(s): Action, Adventure, General"
FOREST ESCAPE,"Forest Escape is:

Run, run away. You have to escape from this dangerous, terrible forest. Danger breathes in your back and it's gaining speed, it will soon catch you up, run faster. Just don't hit the tree!","Genre(s): Action Adventure, Survival"
FORMA.8,"In a distant future, the small exploration probe forma.8 is stranded alone on the surface of an alien planet. It was parted from its companions by chance, and has a life or death mission to accomplish: recovering a powerful energy source deep under the surface before it’s too late.","Genre(s): Action, Action Adventure, Platformer, Open-World, 2D, Metroidvania"
FREDERIC: RESURRECTION OF MUSIC,"Step into Frederic Chopin's shoes, and embark onto an one-of-a-kind adventure through musical genre in this remastered especially for Nintendo WiiU enhanced version.

Frederic Chopin - one of the world's most talented classical composers, is brought back from the afterlife and finds that he's an involuntary part of a treacherous plan. The world of music is at the edge of destruction. Soulless music labels and mass-produced popstars have hindered all creativity. And you're the only hope of bringing it back.
Accompany Chopin in his amazing journey full of quirky events. Battle your opponents in musical duels, intensity of which will make your palms sweat. Enjoy an hour of hand-drawn animated comic picturing the quirky story. Play through twelve catchy arrangements of Chopin's greatest classics, each in a different musical genre. Practice your skills until perfection and become the master of the piano.

Features

-12 fantastic remixes of classical hits
-10 colorful locations from around the world full of hidden easter eggs and jokes
-An hour of outstanding animated comic
-Megatons of humor","Genre(s): Action, Miscellaneous, Rhythm, Music"
FREE BALLING,"Draw anything you can imagine.

A sandbox drawing game that allows you to create anything you can imagine.

After you draw your track you can deploy multiple balls that fly around your screen.

You can pause the game while the balls are in motion, so you can edit your track on-the-fly.","Genre(s): Action, Arcade"
FREEDOM PLANET,"Fight your way across the celestial world of Avalice where cats are green, motorcycles drive up walls and monster girls do most of the buttkicking. Freedom Planet is a cartoony, combat-based platform adventure that pits a spunky dragonoid and her friends against an alien attack force.","Genre(s): Action, Platformer, 2D"
FREEZEME,"A 3D Platformer inspired by the 90s classics, but wait there is a twist!

FreezeME is a A 3D platformer in the style of the 90s-era but wait there is a twist! The main character ""R"" has one special tool - a camera around her neck. This camera allows her to literally freeze the objects she photographs.

This brown-eyed moppet with a camera around her neck is hot on the trail of her best friend, ""M,"" who has been abducted by the dastardly Fat the Cat that longs to create what he describes as a ""Dog-Free-World."" How kidnapping M will help him with this goal remains something of a mystery, but R is determined to thwart him by rescuing M from his clutches.","Genre(s): Action, Platformer, 3D"
FRENCHY BIRD,"Fly & Retry

Play as a Parisian pigeon and enjoy flying through Paris streets while avoiding lamp posts ! Share your score on Miiverse and make your way through the top 100 worldwide ranking!

Features

-Classic arcade action
-Post your score in Miiverse with pre-filled text and automatic screenshot function
-Worldwide top 100 ranking
-Unlock stamps in Miiverse by doing high scores
-Off-TV play","Genre(s): Action, Platformer, Arcade, 2D"
FULLBLAST,"Many have tried and failed... It seemed that the war against these things would be a cakewalk, but this is taking more than expected - humanity needs you! You're our hero!

FullBlast is a fast-paced action game. Go and save the Earth through levels full of aliens.

-Power ups and power downs - watch out what you pick!
-Heavy Metal soundtrack
-Achievements and leaderboards
-Two Players
-Off-TV play","Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical"
FUNK OF TITANS,"Funk of Titans was developed by the indie developer A Crowd of Monsters, and is a fun fast-paced side-scrolling platformer where you are tasked to defeat the Music Titans in the name of funk by Zeus himself. As Perseus (wielder of Funk-Fu) you will accomplish this difficult task via 40+ levels through 3 different worlds of music: Pop, Rap, and Rock. The Pagan Titans and Music Gods stand in your way, so grab your knife, steel your heart, and let's get funky!","Genre(s): Action, Platformer, 2D"
FUNKY BARN,"Its farming! but not as you know it...

Slap on your straw hat and grubbiest coveralls and take hold of your Wii U GamePad - it's time to get your hands dirty! Devote yourself to your own slice of lush countryside and take up the challenge of creating a beautiful farmland full of animals, crops, trees and more then develop it into the craziest, most offbeat farm imaginable, overflowing with the whackiest contraptions and goofiest gizmos you and your animals have ever seen! This is not your ordinary farm...

It's your farm - and it's like no farm you've seen before!","Genre(s): Simulation, General, General, Virtual, Virtual Life"
FUNKY PHYSICS,"Can you remove all the green blocks?

In this simple yet challenging physics-based game your goal is to remove all the green blocks from the screen. To reach your goal you can tap on big blocks to split them into four smaller parts. On some level you can even use special blocks like explosive or power blocks. Do you have what it takes to solve all the 32 levels with three stars rating?","Genre(s): Puzzle, General"
FUTURIDIUM EP DELUXE,"Futuridium EP Deluxe is a psychedelic retro inspired shoot'em up with a modern twist, that blends together frantic action, puzzle elements, a vibrant low poly aesthetic and an heart pumping electronic soundtrack. As a lone starship pilot lost in a dimensional loop just before a big space battle, with a limited and constantly depleting energy tank, your only hope is to fly as fast as possible over enormous space dreadnoughts, destroying their defenses and the cyan power cubes to get some energy back.

Try to escape the infinite loop of Futuridium: you can count only on your reflexes, your dual lasers, the nimbleness of your starship and... the ability to turn 180 on the spot! Can you beat all the 50 levels, the 5 bosses, unlock all the extra game modes and collect the 150 medals?

Good luck! You'll need it...","Genre(s): Action, Shooter, Rail"
GAIABREAKER,"In this scrolling shooter, take control of a hi-tech gunship and blast your way through six different stages to protect Earth from an invading menace.

Your ship is armed with standard guns, as well as a powerful homing laser that can lock on to up to four enemies at a time. When a green target appears, fire the laser and watch it pursue your enemies and bring them down!

Connect to Miiverse to communicate with other players. Upon completing a stage, you can choose to post your play data and a comment to Miiverse, sharing your accomplishment for other players to see. Enable the display of Miiverse content in-game and you'll see other players' data as you play, letting you see their scores and where they were defeated. Try to beat them all and become the very best!

This title was developed using enchant.js and NWF (Nintendo Web Framework).","Genre(s): Action, Shooter, Scrolling, Shoot-'Em-Up, Vertical"
GALAXY BLASTER,"In GALAXY BLASTER, you must defend your ship from the oncoming alien ships. Move your paddle left or right then tap the screen to fire the blaster. Be careful, if the target enters your base, or you miss the targets too many times, it's game over!","Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical"
GAME & WARIO,Wario and his Diamond City friends are back in action. Game & Wario (working title) features a collection of games that use only the Wii U GamePad controller. The games retain the original flair and character of the micro-games from the WarioWare series.,"Genre(s): Miscellaneous, Party, Party, Party / Minigame"
GAME PARTY CHAMPIONS,"Game Party Champions is the fifth and latest installment of the Game Party franchise and available exclusively for Wii U. The game’s pick-up and play style promises to appeal to experienced and new gamers alike. Using the system’s innovative new GamePad, players tilt, turn and touch the controller to play arcade, sports and party games in entirely new ways.","Genre(s): Miscellaneous, Party, Party, Party / Minigame"
GAMES FOR TODDLERS,"Designed specifically for toddlers

A set of video games designed specifically for toddlers. Each game is simple and uses the Wii U GamePad Touch Screen.

A-mazing: Guide the boy through the maze. A new and unique maze is generated for you every time you play. Choose from 3 different maze sizes.

Icy Block Stacker: Carefully stack the icy blocks on top of each other.

Happy Cat: Traverse the trees in the forest for as long as possible.

Egg Hunt: Help the the Easter Bunny collect Easter eggs.","Genre(s): Miscellaneous, Party / Minigame"
GEAR GAUNTLET,"No heroes needed. No villains to defeat. No world to save. Just survive.

Gear Gauntlet is a fun but rage inducing 2D action arcade game from Drop Dead Interactive. Test your patience through ever more punishing gauntlets while boosting, teleporting, reversing and rotating to survive. Use your reflexes to break through coloured barriers and earn your place on the leaderboard. Beautiful hand drawn art and a wonderful soundtrack accompany your descent into fury, but do try to keep calm!

Can you survive the Gear Gauntlet?","Genre(s): Action, General, Arcade"
GEMOLOGY,"Excitement and intrigue 1,000 ft. below!

Stake your claim and take to the caves in Gemology exclusively for Wii U. Amass your wealth by collecting gems through various methods of play in your effort to accumulate the world's largest gem cache. Will you have what it takes to be the worlds richest jewel tycoon?

Ways to Play:

-LAPIDIARY: Solve puzzles by manipulating your environment in Lapidiary! Harvest every gem these shafts can offer in this patient and contemplative puzzler. Be careful, one wrong move at any time may lead to dead ends and disaster!
-ANNEALIATION: Annealing leads to bigger, better, more valuable gems! Tap, drag and combine to make the biggest stones on Earth in Annealiation - the arcade, high score spectacle! Balance your riches against the rising lava to claim the worlds greatest amalgamation of molten magnificence.","Genre(s): Puzzle, Matching, Stacking"
GEOM,"A timed puzzle game that challenges players with speed and precision. Each play session is a race to gain as many points as possible. Mode 1 is a bit of a match game where lines of a same geometric shape or special shape must be made for points. In Mode 2 players search for a specific shape on the blocks shown. Finally, in Mode 3 blocks move upwards and must be tapped to gain points. The key is keeping an eye on the shapes as some appear more often but give less points. Keep an eye on the elusive moon and sun shapes!","Genre(s): Miscellaneous, Puzzle, General"
GETCLOSE: A GAME FOR RIVALS,"Local fast-paced multiplayer

GetClose is a local multiplayer game for 2 or 4 players that forces you to share a Wii U GamePad and Pro Controller for competitive arcade action. Players take control of a single Star Kid who must capture the Cosmic Crown to become victorious.

Collect pickups to obtain special weapons that can cripple your opponents or provide you with the advantage to get that last score.

Play against each other in 12 uniquely designed maps that include deadly lasers, spiky turnstiles and obtrusive speed traps.

Collect pizza slices, Chinese take-out and cherries to unlock stamps for Miiverse. GetClose is a fun, fast paced game for those who love local multiplayer games.

So gather your friends, family members and maybe that really smart dog you know down the street, its time to GetClose.","Genre(s): Miscellaneous, Puzzle, Action, Party, Party / Minigame"
GHOST BLADE HD,"Ghost Blade HD is an intense bullet-hell shoot 'em up game, with satisfying and addictive score-based gameplay, with its tradition going back to the shooting games of the 1990s era. Designed with a modern graphic style and special effects, Ghost Blade also features a 2-player mode. Ghost Blade HD Is easy to learn, yet hard to master.","Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical"
GIANA SISTERS: TWISTED DREAMS,"Giana Sisters: Twisted Dreams is a fast-paced platformer with a twist that derives its name from the protagonist, a little girl stuck in a dream world.","Genre(s): Action, Platformer, Platformer, 2D, 2D"
GIANA SISTERS: TWISTED DREAMS - DIRECTOR'S CUT,Dash through tricky levels and transform the whole world at will in this fast-paced award-winning platformer. Giana Sisters: Twisted Dreams Directors Cut combines graphics that pack a visual punch and tight controls with the challenge of retro era platforming. Fluidly morph between two dynamically different dream worlds to solve puzzles and combat grueling enemies and bosses.,"Genre(s): Action, Platformer, 2D"
